title,year,genre,country,avg_vote
Sinfonia nuziale,1928,Drama,USA,7.5
Il destino,1928,Drama,USA,7.2
La aldea maldita,1930,Drama,Spain,7.0
Alibi,1929,Crime,USA,5.8
Atlantic,1929,Drama,UK,5.5
Behind That Curtain,1929,Mystery,USA,4.9
L'isola del diavolo,1929,Drama,USA,6.4
Daigaku wa detakeredo,1929,Comedy,Japan,6.4
Funamboli,1929,Drama,USA,5.9
Dinamite,1929,Drama,USA,7.0
Evangelina,1929,Drama,USA,6.6
Fräulein Else,1929,Drama,Germany,6.9
The Girl in the Show,1929,Comedy,USA,5.2
Donna pagana,1928,Drama,USA,7.2
Goluboy ekspress,1929,Drama,Soviet Union,6.4
Her Private Affair,1929,Drama,USA,5.1
Il bacillo dell'amore,1929,Drama,Germany,6.1
The Idle Rich,1929,Comedy,USA,5.9
The Informer,1929,Drama,UK,7.0
The Letter,1929,Drama,USA,6.7
Linda,1929,Drama,USA,6.8
Trappola d'amore,1929,Comedy,USA,6.5
Madame X,1929,Drama,USA,6.0
Marianne,1929,Drama,USA,5.6
Il conte di Montecristo,1929,Adventure,France,7.0
Il viaggio di mamma Krausens verso la felicità,1929,Drama,Germany,7.3
Il drago rosso,1929,Thriller,USA,6.7
Les nouveaux messieurs,1929,Comedy,France,6.8
Oblomok imperii,1929,Drama,Soviet Union,7.3
L'isola del sole,1929,Drama,USA,6.9
"Prividenie, kotoroe ne vozvrashchaetsya",1930,Drama,Soviet Union,6.7
La regina Kelly,1932,Drama,USA,7.1
Rotaie,1929,Drama,Italy,6.9
Sally,1929,Musical,USA,6.1
Rivista delle nazioni,1929,Musical,USA,5.8
The Silent Enemy,1930,Drama,USA,6.9
Der Sonderling,1929,Comedy,Germany,5.0
Io... e l'amore,1929,Comedy,USA,7.0
Il vecchio e il nuovo,1929,Drama,Soviet Union,7.3
Il diario di una donna perduta,1929,Drama,Germany,7.9
They Had to See Paris,1929,Comedy,USA,5.8
L'ondata dei forti,1929,Western,USA,6.4
Tôkyô kôshinkyoku,1929,Drama,Japan,6.6
L'intrusa,1929,Drama,USA,6.6
The Trial of Mary Dugan,1929,Drama,USA,6.1
The Valiant,1929,Drama,USA,6.0
Giorni di gioventù,1929,Comedy,Japan,6.4
Evviva il pericolo!,1929,Comedy,USA,6.0
Nina Petrowna,1929,Drama,Germany,7.2
La nuova generazione,1929,Drama,USA,6.3
Anna Christie,1930,Drama,USA,6.9
Borderline,1930,Drama,UK,6.2
Charley's Aunt,1930,Comedy,USA,6.2
Check and Double Check,1930,Comedy,USA,5.7
Conspiracy,1930,Mystery,USA,5.4
La beffa della vita,1931,Drama,France,7.0
La dea verde,1930,Adventure,USA,5.4
Giorni felici,1929,Musical,USA,5.5
La leggenda di Liliom,1930,Drama,USA,6.8
The Matrimonial Bed,1930,Comedy,USA,5.7
One Night at Susie's,1930,Drama,USA,5.8
Passion Flower,1930,Drama,USA,6.1
La petite Lise,1930,Drama,France,7.2
Prazdnik svyatogo Yorgena,1930,Comedy,Soviet Union,7.1
Miss Europa,1930,Drama,France,6.9
Redenzione,1930,Drama,USA,5.6
Dall'ombra alla luce,1930,Drama,USA,5.7
La famiglia reale di Broadway,1930,Comedy,USA,6.3
Le sang d'un poète,1930,Fantasy,France,7.4
The Sin Ship,1931,Drama,USA,5.5
Sunny,1930,Musical,USA,5.3
Agente segreto Z1,1930,Drama,USA,5.9
Wide Open,1930,Comedy,USA,6.0
La terra,1930,Drama,Soviet Union,7.3
